,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475
0,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,1,shares,0.0012625,0.0037375000000000004,0.0012625,0.0037375000000000004,0.06249375,0.18500624999999998,0.06125625,0.18624374999999999,0.06125625,0.18624374999999999,0.06249375,0.18500624999999998
0,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,2,shares,0.0022031043743124773,0.0027968956256875233,0.0022031043743124773,0.0027968956256875233,0.10905366652846762,0.13844633347153237,0.10750677090278009,0.1399932290972199,0.10750677090278009,0.1399932290972199,0.10905366652846762,0.13844633347153237
0,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,3,shares,0.002905436092177578,0.002094563907822422,0.002905436092177578,0.002094563907822422,0.1438190865627901,0.10368091343720989,0.14234952265496767,0.1051504773450323,0.14234952265496767,0.1051504773450323,0.1438190865627901,0.10368091343720989
0,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,4,shares,0.0034306286828787664,0.0015693713171212337,0.0034306286828787664,0.0015693713171212337,0.16981611980249892,0.07768388019750107,0.16855924848537768,0.0789407515146223,0.16855924848537768,0.0789407515146223,0.16981611980249892,0.07768388019750107
0,0,4,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,5,shares,0.003823746555029236,0.001176253444970764,0.003823746555029236,0.001176253444970764,0.18927545447394717,0.058224545526052815,0.1882554510289764,0.05924454897102358,0.1882554510289764,0.05924454897102358,0.18927545447394717,0.058224545526052815
0,0,5,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,6,shares,0.004118197183037891,0.0008818028169621092,0.004118197183037891,0.0008818028169621092,0.20385076056037557,0.0436492394396244,0.20304708274341346,0.04445291725658651,0.20304708274341346,0.04445291725658651,0.20385076056037557,0.0436492394396244
0,0,6,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,7,shares,0.004338841435771462,0.0006611585642285387,0.004338841435771462,0.0006611585642285387,0.2147726510706873,0.03272734892931266,0.21415055500645877,0.0333494449935412,0.21415055500645877,0.0333494449935412,0.2147726510706873,0.03272734892931266
0,0,7,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,8,shares,0.004504227822778437,0.0004957721772215632,0.004504227822778437,0.0004957721772215632,0.2229592772275326,0.024540722772467372,0.22248303630031102,0.025016963699688935,0.22248303630031102,0.025016963699688935,0.2229592772275326,0.024540722772467372
0,0,8,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,9,shares,0.004628219230626516,0.000371780769373484,0.004628219230626516,0.000371780769373484,0.2290968519160125,0.018403148083987457,0.22873483677163903,0.01876516322836094,0.22873483677163903,0.01876516322836094,0.2290968519160125,0.018403148083987457
0,0,9,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,10,shares,0.0047211886015971535,0.00027881139840284697,0.0047211886015971535,0.00027881139840284697,0.23369883577905903,0.013801164220940923,0.2334249071931562,0.014075092806843768,0.2334249071931562,0.014075092806843768,0.23369883577905903,0.013801164220940923
0,0,10,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,0,shares,0.0,0.005511278180497548,0.0,0.004488721819502455,0.0,0.2728082699346285,0.0,0.4372586461264897,0.0,0.057741353873510266,0.0,0.22219173006537143
0,1,0,payoffs,2.0,0.6721218039772727,1.0,1.6721218039772725,2.0,0.6721218039772727,3.0,1.6721218039772725,0.0,0.6721218039772727,1.0,1.6721218039772725
0,1,1,shares,0.001533896452732832,0.003977381727764716,0.00101750549043031,0.0034712163290721446,0.07592787441027514,0.19688039552435332,0.02524790622024164,0.41201073990624804,0.02524790622024164,0.03249344765326863,0.05036652177630033,0.1718252082890711
0,1,1,payoffs,2.0,0.5686927177275974,1.0,1.5686927177275976,2.0,0.5686927177275974,3.0,1.5686927177275976,0.0,0.5686927177275974,1.0,1.5686927177275976
0,1,2,shares,0.0025073685617270566,0.0030039096187704914,0.0017589733403907113,0.002729748479111743,0.12411474380548923,0.14869352612913922,0.04156120976062262,0.3956974363658671,0.041561209760622615,0.016180144112887655,0.08706918034934019,0.13512254971603124
0,1,2,payoffs,2.0,0.4786742016146899,1.0,1.4786742016146897,2.0,0.4786742016146899,3.0,1.4786742016146897,0.0,0.4786742016146899,1.0,1.4786742016146897
0,1,3,shares,0.0031570230262977584,0.0023542551541997896,0.0022954538760117673,0.002193267943490687,0.15627263980173894,0.1165356301328895,0.05068894318910695,0.38656970293738274,0.050688943189106946,0.0070524106844033225,0.11362496686258246,0.10856676320278898
0,1,3,payoffs,2.0,0.4041326736909649,1.0,1.404132673690965,2.0,0.4041326736909649,3.0,1.404132673690965,0.0,0.4041326736909649,1.0,1.404132673690965
0,1,4,shares,0.003606100013106524,0.0019051781673910236,0.0026852137465319765,0.0018035080729704779,0.17850195064877283,0.0943063192858556,0.055063033749565705,0.382195612376924,0.0550630337495657,0.002678320123944572,0.1329180804533328,0.08927364961203862
0,1,4,payoffs,2.0,0.3456703381646589,1.0,1.345670338164659,2.0,0.3456703381646589,3.0,1.345670338164659,0.0,0.3456703381646589,1.0,1.345670338164659
0,1,5,shares,0.003926463574723269,0.0015848146057742792,0.0029722971607515033,0.0015164246587509509,0.19435994694880168,0.07844832298582677,0.056852109480882256,0.3804065366456075,0.05685210948088225,0.0008892443926280242,0.14712870945719939,0.07506302060817205
0,1,5,payoffs,2.0,0.30087794656325684,1.0,1.3008779465632567,2.0,0.30087794656325684,3.0,1.3008779465632567,0.0,0.30087794656325684,1.0,1.3008779465632567
0,1,6,shares,0.004162261517113054,0.0013490166633844938,0.0031881832985222094,0.001300538520980245,0.20603194509709605,0.0667763248375324,0.05748097938203159,0.3797776667444581,0.05748097938203158,0.0002603744914786934,0.15781507327684932,0.06437665678852211
0,1,6,payoffs,2.0,0.26617483676513454,1.0,1.2661748367651344,2.0,0.26617483676513454,3.0,1.2661748367651344,0.0,0.26617483676513454,1.0,1.2661748367651344
0,1,7,shares,0.004341115085340212,0.0011701630951573361,0.0033544133046745166,0.0011343085148279378,0.21488519672434034,0.0579230732102881,0.0576734212036361,0.3795852249228536,0.05767342120363609,6.793266987418763e-05,0.16604345858138853,0.05614827148398291
0,1,7,payoffs,2.0,0.23853916641412276,1.0,1.2385391664141228,2.0,0.23853916641412276,3.0,1.2385391664141228,0.0,0.23853916641412276,1.0,1.2385391664141228
0,1,8,shares,0.004480519692604957,0.0010307584878925904,0.003485405891122618,0.0010033159283798364,0.22178572478394526,0.05102254515068319,0.05772540654951462,0.3795332395769751,0.057725406549514614,1.5947323995664832e-05,0.17252759161056955,0.049664138454801894
0,1,8,payoffs,2.0,0.21593404901445495,1.0,1.215934049014455,2.0,0.21593404901445495,3.0,1.215934049014455,0.0,0.21593404901445495,1.0,1.215934049014455
0,1,9,shares,0.004591773535215674,0.0009195046452818736,0.003590814624485113,0.0008979071950173414,0.22729278999317573,0.04551547994145272,0.057737956656777945,0.3795206894697118,0.05773795665677794,3.397216732339366e-06,0.17774532391201306,0.044446406153358396
0,1,9,payoffs,2.0,0.19706364655435632,1.0,1.1970636465543563,2.0,0.19706364655435632,3.0,1.1970636465543563,0.0,0.19706364655435632,1.0,1.1970636465543563
0,1,10,shares,0.004682367376516813,0.0008289108039807349,0.0036772026847816043,0.0008115191347208498,0.2317771851375821,0.041031084797046355,0.057740692291782074,0.37951795383470766,0.05774069229178207,6.615817282097723e-07,0.1820215328966894,0.04017019716868206
0,1,10,payoffs,2.0,0.181073741448864,1.0,1.1810737414488641,2.0,0.181073741448864,3.0,1.1810737414488641,0.0,0.181073741448864,1.0,1.1810737414488641
0,2,0,shares,0.0,0.005901442595562525,0.0,0.0040985574044374775,0.0,0.2850779113468753,0.0,0.5022300940530074,0.0,0.0047051184300653075,0.0,0.19798687617005184
0,2,0,payoffs,2.0,0.5913689447450065,1.0,1.5913689447450066,2.0,0.5913689447450065,3.0,1.5913689447450066,0.0,0.5913689447450065,1.0,1.5913689447450066
0,2,1,shares,0.0017171979537851675,0.004184244641777358,0.0008282587501056814,0.0032702986543317963,0.08295178646697336,0.20212612487990195,0.0023630520716622387,0.4998670419813452,0.0023630520716622387,0.002342066358403069,0.04001026371288366,0.15797661245716818
0,2,1,payoffs,2.0,0.4797896044855716,1.0,1.4797896044855716,2.0,0.4797896044855716,3.0,1.4797896044855716,0.0,0.4797896044855716,1.0,1.4797896044855716
0,2,2,shares,0.0027097093558796706,0.0031917332396828547,0.0014345428777848331,0.0026640145266526444,0.13089651742306418,0.1541813939238111,0.0037090707239596926,0.49852102332904774,0.0037090707239596926,0.0009960477061056149,0.06929771504410515,0.1286891611259467
0,2,2,payoffs,2.0,0.4018281158415072,1.0,1.4018281158415071,2.0,0.4018281158415072,3.0,1.4018281158415071,0.0,0.4018281158415072,1.0,1.4018281158415071
0,2,3,shares,0.0033469402640780195,0.002554502331484506,0.001878475271850879,0.0022200821325865988,0.16167889874986957,0.12339901259700574,0.0043390166749243606,0.4978910773780831,0.0043390166749243606,0.00036610175514094703,0.09074252580524467,0.10724435036480717
0,2,3,payoffs,2.0,0.34434755141846657,1.0,1.3443475514184664,2.0,0.34434755141846657,3.0,1.3443475514184664,0.0,0.34434755141846657,1.0,1.3443475514184664
0,2,4,shares,0.003785483886311034,0.002115958709251491,0.002209711839568453,0.0018888455648690247,0.18286339691895906,0.10221451442791626,0.004587462875018413,0.497642631177989,0.004587462875018412,0.00011765555504689477,0.10674339802547728,0.09124347814457456
0,2,4,payoffs,2.0,0.3004737073873316,1.0,1.3004737073873316,2.0,0.3004737073873316,3.0,1.3004737073873316,0.0,0.3004737073873316,1.0,1.3004737073873316
0,2,5,shares,0.0041030207726558444,0.001798421822906681,0.002462742241952058,0.0016358151624854197,0.1982024857720533,0.08687542557482203,0.004671681050981116,0.4975584130020263,0.004671681050981115,3.343737908419215e-05,0.11896640578175316,0.07902047038829868
0,2,5,payoffs,2.0,0.2660199753318664,1.0,1.2660199753318664,2.0,0.2660199753318664,3.0,1.2660199753318664,0.0,0.2660199753318664,1.0,1.2660199753318664
0,2,6,shares,0.004342138669902235,0.0015593039256602901,0.002660574639371347,0.001437982765066131,0.2097534293945355,0.0753244819523398,0.004696627071187283,0.49753346698182016,0.004696627071187282,8.491358878025086e-06,0.12852299228408445,0.06946388388596739
0,2,6,payoffs,2.0,0.23830462525304805,1.0,1.238304625253048,2.0,0.23830462525304805,3.0,1.238304625253048,0.0,0.23830462525304805,1.0,1.238304625253048
0,2,7,shares,0.004527912821077352,0.001373529774485173,0.0028185651864018604,0.0012799922180356175,0.21872752448089006,0.06635038686598527,0.004703173723075115,0.49752692032993234,0.004703173723075114,1.9447069901927207e-06,0.13615495928718227,0.06183191688286958
0,2,7,payoffs,2.0,0.21556227567012007,1.0,1.21556227567012,2.0,0.21556227567012007,3.0,1.21556227567012,0.0,0.21556227567012007,1.0,1.21556227567012
0,2,8,shares,0.004675949172125693,0.0012254934234368325,0.0029471254853812184,0.0011514319190562596,0.22587863932728483,0.05919927201959049,0.004704713504183083,0.4975253805488244,0.0047047135041830826,4.049258822245637e-07,0.1423652546381399,0.055621621531911955
0,2,8,payoffs,2.0,0.1965929726448813,1.0,1.1965929726448812,2.0,0.1965929726448813,3.0,1.1965929726448812,0.0,0.1965929726448813,1.0,1.1965929726448812
0,2,9,shares,0.004796410062413434,0.001105032533149091,0.0030534664578461762,0.0010450909465913015,0.2316976807643796,0.053380230582495726,0.00470504123017606,0.49752505282283144,0.004705041230176059,7.719988924803364e-08,0.14750221256495274,0.05048466360509912
0,2,9,payoffs,2.0,0.18055249687719085,1.0,1.1805524968771908,2.0,0.18055249687719085,3.0,1.1805524968771908,0.0,0.18055249687719085,1.0,1.1805524968771908
0,2,10,shares,0.004896168112562063,0.0010052744830004617,0.0031426954514237495,0.0009558619530137283,0.23651664089419466,0.04856127045268067,0.004705104869486755,0.4975249891835207,0.004705104869486754,1.3560578552551464e-08,0.1518125510472427,0.04617432512280916
0,2,10,payoffs,2.0,0.16682849380003192,1.0,1.166828493800032,2.0,0.16682849380003192,3.0,1.166828493800032,0.0,0.16682849380003192,1.0,1.166828493800032
0,3,0,shares,0.0,0.006232406043191246,0.0,0.003767593956808756,0.0,0.2977245284859694,0.0,0.5119817590314426,0.0,0.0003142428293050192,0.0,0.17997946965328274
0,3,0,payoffs,2.0,0.6085423547169315,1.0,1.6085423547169315,2.0,0.6085423547169315,3.0,1.6085423547169315,0.0,0.6085423547169315,1.0,1.6085423547169315
0,3,1,shares,0.0018943830356294273,0.004338023007561819,0.0006922843264387349,0.003075309630370021,0.09049543501273505,0.20722909347323437,0.00016088659651060112,0.511820872434932,0.00016088659651060112,0.00015335623279441807,0.03307069905889228,0.14690877059439045
0,3,1,payoffs,2.0,0.4847494224294987,1.0,1.4847494224294986,2.0,0.4847494224294987,3.0,1.4847494224294986,0.0,0.4847494224294987,1.0,1.4847494224294986
0,3,2,shares,0.0029450485254690724,0.0032873575177221736,0.0012203141615408912,0.0025472797952678645,0.14068614553306846,0.15703838295290096,0.0002507419328090633,0.5117310170986336,0.0002507419328090633,6.350089649595588e-05,0.05829489539540329,0.12168457425787944
0,3,2,payoffs,2.0,0.4028098597234839,1.0,1.402809859723484,2.0,0.4028098597234839,3.0,1.402809859723484,0.0,0.4028098597234839,1.0,1.402809859723484
0,3,3,shares,0.0036068764027800257,0.0026255296404112203,0.0016176927667878734,0.0021499011900208823,0.17230192784021414,0.12542260064575528,0.000291547222127335,0.5116902118093153,0.000291547222127335,2.2695607177684194e-05,0.0772778302455516,0.10270163940773114
0,3,3,payoffs,2.0,0.34399318417550134,1.0,1.3439931841755013,2.0,0.34399318417550134,3.0,1.3439931841755013,0.0,0.34399318417550134,1.0,1.3439931841755013
0,3,4,shares,0.004058378527862221,0.002174027515329026,0.0019204279857136068,0.0018471659710951487,0.19387036487222745,0.10385416361374197,0.00030714341319678664,0.5116746156182458,0.00030714341319678664,7.0994161082325475e-06,0.09173961269139007,0.08823985696189267
0,3,4,payoffs,2.0,0.29962065724287873,1.0,1.2996206572428788,2.0,0.29962065724287873,3.0,1.2996206572428788,0.0,0.29962065724287873,1.0,1.2996206572428788
0,3,5,shares,0.004384048498215775,0.0018483575449754718,0.0021555316946425505,0.0016120622621662048,0.20942774956340587,0.08829677892256353,0.00031227566350611094,0.5116694833679365,0.00031227566350611094,1.967165798908223e-06,0.10297061086466242,0.07700885878862032
0,3,5,payoffs,2.0,0.2649680611858354,1.0,1.2649680611858354,2.0,0.2649680611858354,3.0,1.2649680611858354,0.0,0.2649680611858354,1.0,1.2649680611858354
0,3,6,shares,0.004628921012092348,0.0016034850310988984,0.00234179688188297,0.0014257970749257853,0.22112540745473072,0.07659912103123867,0.0003137549157461997,0.5116680041156964,0.0003137549157461997,4.879135588194339e-07,0.11186857333055289,0.06811089632272985
0,3,6,payoffs,2.0,0.2371919015372189,1.0,1.2371919015372188,2.0,0.2371919015372189,3.0,1.2371919015372188,0.0,0.2371919015372189,1.0,1.2371919015372188
0,3,7,shares,0.004819086657437057,0.0014133193857541893,0.00249215181448465,0.0012754421423241053,0.23020969636372057,0.06751483212224882,0.00031413351266307613,0.5116676255187794,0.00031413351266307613,1.0931664194300254e-07,0.11905108857493092,0.060928381078351815
0,3,7,payoffs,2.0,0.21446263835864843,1.0,1.2144626383586483,2.0,0.21446263835864843,3.0,1.2144626383586483,0.0,0.21446263835864843,1.0,1.2144626383586483
0,3,8,shares,0.004970638519239428,0.0012617675239518188,0.0026155765397433616,0.0011520174170653935,0.23744938939456456,0.060275139091404834,0.000314220528549643,0.5116675385028928,0.000314220528549643,2.2300755376107663e-08,0.12494713704746346,0.05503233260581928
0,3,8,payoffs,2.0,0.1955450342007185,1.0,1.1955450342007183,2.0,0.1955450342007185,3.0,1.1955450342007183,0.0,0.1955450342007185,1.0,1.1955450342007183
0,3,9,shares,0.0050940046613442355,0.0011384013818470113,0.0027184149569493324,0.0010491789998594227,0.24334263932641273,0.05438188915955667,0.0003142386581577546,0.5116675203732847,0.0003142386581577546,4.171147264502342e-09,0.12985976935362392,0.050119700299658815
0,3,9,payoffs,2.0,0.1795736836575792,1.0,1.1795736836575792,2.0,0.1795736836575792,3.0,1.1795736836575792,0.0,0.1795736836575792,1.0,1.1795736836575792
0,3,10,shares,0.005196218118474681,0.0010361879247165655,0.002805234286463925,0.0009623596703448304,0.24822541703989762,0.049499111446071775,0.00031424210962936847,0.511667516921813,0.00031424210962936847,7.196756505964617e-10,0.1340071634361129,0.04597230621716983
0,3,10,payoffs,2.0,0.16592411896864825,1.0,1.1659241189686482,2.0,0.16592411896864825,3.0,1.1659241189686482,0.0,0.16592411896864825,1.0,1.1659241189686482
0,4,0,shares,0.0,0.006560529038668037,0.0,0.0034394709613319646,0.0,0.3121949395975623,0.0,0.5141104254855627,0.0,2.1031356602738877e-05,0.0,0.16367360356027175
0,4,0,payoffs,2.0,0.6375529999856665,1.0,1.6375529999856666,2.0,0.6375529999856665,3.0,1.6375529999856666,0.0,0.6375529999856665,1.0,1.6375529999856666
0,4,1,shares,0.002091204508222229,0.004469324530445808,0.0005747805670759608,0.0028646903942560037,0.09951384427728063,0.21268109532028165,1.081243969157269e-05,0.5140996130458712,1.0812439691572688e-05,1.021891691116619e-05,0.027351999108987127,0.1363216044512846
0,4,1,payoffs,2.0,0.49896375510051716,1.0,1.4989637551005173,2.0,0.49896375510051716,3.0,1.4989637551005173,0.0,0.49896375510051716,1.0,1.4989637551005173
0,4,2,shares,0.003206167514233911,0.0033543615244341265,0.0010328507879143265,0.002406620173417638,0.15257142641184646,0.15962351318571583,1.6847894998900404e-05,0.5140935775905638,1.68478949989004e-05,4.183461603838475e-06,0.049150119974421175,0.11452348358585056
0,4,2,payoffs,2.0,0.4105311839935962,1.0,1.4105311839935961,2.0,0.4105311839935962,3.0,1.4105311839935961,0.0,0.4105311839935962,1.0,1.4105311839935961
0,4,3,shares,0.003894684844840575,0.0026658441938274624,0.001387264279630934,0.0020522066817010303,0.18533580031731783,0.12685913928024445,1.9556553936209775e-05,0.5140908689316266,1.9556553936209772e-05,1.4748026665291042e-06,0.06601554317228749,0.09765806038798425
0,4,3,payoffs,2.0,0.3485043721605405,1.0,1.3485043721605403,2.0,0.3485043721605405,3.0,1.3485043721605403,0.0,0.3485043721605405,1.0,1.3485043721605403
0,4,4,shares,0.004359208734183491,0.002201320304484547,0.001662548122030655,0.0017769228393013097,0.20744103096568023,0.10475390863188205,2.0576538382065045e-05,0.5140898489471807,2.0576538382065042e-05,4.5481822067383556e-07,0.07911543527605208,0.08455816828421965
0,4,4,payoffs,2.0,0.3023992463242915,1.0,1.3023992463242915,2.0,0.3023992463242915,3.0,1.3023992463242915,0.0,0.3023992463242915,1.0,1.3023992463242915
0,4,5,shares,0.004692046119317421,0.0018684829193506176,0.0018794197609807684,0.0015600512003511962,0.22327971512289482,0.08891522447466746,2.090707815441593e-05,0.5140895184074084,2.0907078154415927e-05,1.242784483229511e-07,0.08943567436399631,0.07423792919627542
0,4,5,payoffs,2.0,0.26674792255144203,1.0,1.266747922551442,2.0,0.26674792255144203,3.0,1.266747922551442,0.0,0.26674792255144203,1.0,1.266747922551442
0,4,6,shares,0.004941252746695571,0.0016192762919724675,0.002053143443773717,0.001386327517558248,0.23513867459446655,0.07705626500309572,2.1000941734070505e-05,0.5140894245438287,2.1000941734070502e-05,3.041486866837715e-08,0.09770263794826571,0.06597096561200602
0,4,6,payoffs,2.0,0.23836665713388852,1.0,1.2383666571338885,2.0,0.23836665713388852,3.0,1.2383666571338885,0.0,0.23836665713388852,1.0,1.2383666571338885
