,,,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11
,,,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior
simulation_number,generation,learning_step,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,0.0,delta,0.0,delta,0.0,beta,0.0,alpha,0.0,delta,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,gamma,0.0,alpha,0.0,delta
8,0,0,0.0,gamma,0.0,delta,0.0,beta,0.0,delta,0.0,gamma,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha
8,0,1,0.0,delta,0.0,alpha,0.0,beta,0.0,gamma,0.0,gamma,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,alpha,0.0,delta
8,0,2,0.0,beta,0.0,beta,0.0,alpha,0.0,alpha,0.0,delta,0.0,gamma,0.0,alpha,0.0,alpha,0.0,beta,0.0,delta,0.0,delta,0.0,alpha
8,1,0,0.0,beta,0.0,delta,0.0,delta,0.0,gamma,0.0,alpha,0.0,gamma,0.0,beta,0.0,beta,0.0,delta,0.0,delta,0.0,alpha,0.0,delta
9,0,0,0.0,gamma,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta,0.0,delta,0.0,alpha,0.0,gamma,0.0,delta,0.0,delta,0.0,gamma,0.0,gamma
9,0,1,0.0,alpha,0.0,gamma,0.0,delta,0.0,gamma,0.0,beta,0.0,gamma,0.0,alpha,0.0,gamma,0.0,delta,0.0,alpha,0.0,gamma,0.0,alpha
9,0,2,0.0,gamma,0.0,gamma,0.0,gamma,0.0,delta,0.0,beta,0.0,alpha,0.0,alpha,0.0,gamma,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha
9,1,0,0.0,alpha,0.0,gamma,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta,0.0,gamma,0.0,beta,0.0,alpha,0.0,beta,0.0,alpha,0.0,gamma
10,0,0,0.0,alpha,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,gamma,0.0,alpha,0.0,gamma,0.0,beta,0.0,gamma,0.0,beta,0.0,delta
10,0,1,0.0,alpha,0.0,delta,0.0,alpha,0.0,beta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,beta,0.0,delta,0.0,beta,0.0,beta
10,0,2,0.0,beta,0.0,beta,0.0,beta,0.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,alpha,0.0,delta,0.0,delta,0.0,beta
10,1,0,0.0,alpha,0.0,beta,0.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta
11,0,0,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,delta,0.0,gamma,0.0,alpha,0.0,beta,0.0,beta,0.0,delta,0.0,gamma,0.0,beta
11,0,1,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,gamma,0.0,delta,0.0,beta,0.0,delta,0.0,beta
11,0,2,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,gamma,0.0,beta,0.0,gamma,0.0,beta,0.0,beta,0.0,beta,0.0,beta
